Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A792428,"2104 E ANDERSON LANE
AUSTIN 78752
(30.329378, -97.678526)",TRUE,4/10/2019,Dog,West Highland/Yorkshire Terrier,Cream,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792428
A792430,"2104 E ANDERSON LANE
AUSTIN 78752
(30.329378, -97.678526)",TRUE,4/10/2019,Dog,Norwich Terrier,Tan/White,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792430
A792458,"12120 SHROPSHIRE BOULEVARD
AUSTIN 78753
(30.386582, -97.658209)",TRUE,4/10/2019,Dog,German Shepherd Mix,Tan/Black,Spayed Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A792458
A792460,"2612 EKTOM DRIVE
AUSTIN 78745
(30.223369, -97.803765)",TRUE,4/10/2019,Cat,Domestic Shorthair Mix,Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A792460
A792461,"1626 AND
MANCHACA 78652",TRUE,4/10/2019,Dog,Australian Cattle Dog Mix,Black/White,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792461
A792467,"AUSTIN 78754
(30.356927, -97.643722)",FALSE,4/11/2019,Dog,Chihuahua Shorthair Mix,Brown,Unknown,0 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792467
A792468,"AUSTIN 78754
(30.356927, -97.643722)",FALSE,4/11/2019,Dog,Chihuahua Shorthair Mix,Brown,Unknown,0 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792468
A792469,"AUSTIN 78754
(30.356927, -97.643722)",FALSE,4/11/2019,Dog,Chihuahua Shorthair Mix,Brown,Unknown,0 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792469
A792470,"AUSTIN 78754
(30.356927, -97.643722)",FALSE,4/11/2019,Dog,Chihuahua Shorthair Mix,Brown,Unknown,0 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792470
A792471,"AUSTIN 78754
(30.356927, -97.643722)",FALSE,4/11/2019,Dog,Chihuahua Shorthair Mix,Brown,Unknown,0 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792471
A792472,"AUSTIN 78754
(30.356927, -97.643722)",FALSE,4/11/2019,Dog,Chihuahua Shorthair Mix,Brown,Unknown,0 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792472
A792473,"AUSTIN 78758
(30.384311, -97.706726)",FALSE,4/11/2019,Cat,Domestic Shorthair Mix,Brown Tabby,Unknown,0 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792473
A792474,"AUSTIN 78758
(30.384311, -97.706726)",FALSE,4/11/2019,Cat,Domestic Shorthair Mix,Brown Tabby,Unknown,0 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792474
A792475,"AUSTIN 78758
(30.384311, -97.706726)",FALSE,4/11/2019,Cat,Domestic Shorthair Mix,Brown Tabby,Unknown,0 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792475
A792476,"AUSTIN 78758
(30.384311, -97.706726)",FALSE,4/11/2019,Cat,Domestic Shorthair Mix,Brown Tabby,Unknown,0 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792476
